,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
2,왕십리역,11829 ,6219 ,3350 ,2071 ,2 ,8 ,37 ,77 ,15 ,3 ,1 ,23 ,1 ,2 
2,용답역,11777 ,5276 ,2042 ,555 ,5 ,2 ,4 ,23 ,5 ,1 ,0 ,8 ,0 ,0 
2,뚝섬역,13384 ,5734 ,3693 ,2867 ,3 ,3 ,22 ,49 ,18 ,1 ,0 ,21 ,0 ,0 
2,성수역,8760 ,3880 ,2687 ,4633 ,2 ,8 ,32 ,41 ,28 ,3 ,1 ,27 ,0 ,0 
2,상왕십리역,12224 ,5682 ,3249 ,1415 ,2 ,4 ,28 ,60 ,17 ,2 ,0 ,8 ,0 ,1 
2,신당역,12301 ,6189 ,4117 ,3487 ,3 ,5 ,20 ,57 ,16 ,2 ,0 ,18 ,0 ,2 
2,한양대역,4650 ,1985 ,942 ,619 ,16 ,2 ,5 ,6 ,10 ,1 ,0 ,13 ,1 ,0 
2,신설동역,7792 ,4168 ,2991 ,3249 ,5 ,7 ,95 ,39 ,18 ,2 ,0 ,28 ,0 ,1 
2,잠실나루역,14913 ,5016 ,5052 ,784 ,5 ,2 ,11 ,58 ,7 ,0 ,0 ,7 ,0 ,0 
2,잠실역,5472 ,1883 ,1901 ,1456 ,0 ,2 ,99 ,45 ,19 ,0 ,6 ,17 ,1 ,0 
2,종합운동장역,2171 ,729 ,734 ,246 ,2 ,2 ,4 ,1 ,4 ,1 ,0 ,10 ,1 ,0 
2,신정네거리역,14994 ,6609 ,3501 ,1166 ,0 ,3 ,10 ,68 ,10 ,1 ,0 ,9 ,0 ,0 
2,양천구청역,13416 ,4608 ,4488 ,437 ,3 ,1 ,2 ,30 ,9 ,1 ,0 ,3 ,0 ,0 
2,영등포구청역,13416 ,4608 ,4488 ,437 ,6 ,6 ,82 ,59 ,17 ,1 ,0 ,19 ,0 ,2 
2,당산역,8936 ,4632 ,3864 ,1076 ,1 ,4 ,49 ,52 ,11 ,2 ,0 ,13 ,0 ,0 
