역명,호선명,인구300,가구300,주택300,사업체수300,교육시설300,공공기관300,금융시설300,의료시설300,대중교통300,방범/방재300,백화점/중대형마트300,편의점300,극장/영화관300,도서관/박물관300,인구500,가구500,주택500,사업체수500,교육시설500,공공기관500,금융시설500,의료시설500,대중교통500,방범/방재500,백화점/중대형마트500,편의점500,극장/영화관500,도서관/박물관500,전철역코드,호선,외부코드,사이버스테이션,주소,현장민원소,관광안내소,문화공간,항공권판매,장애인시설,만남의장소,주차장,자전거보관소,무인민원발급기,역무실,수유방,엘레베이터,에스컬레이터,휠체어리프트시설,스피드게이트,화장실,X좌표,Y좌표,X좌표(WGS),Y좌표(WGS)
경찰병원,3호선,17772,6856,5709,2129,0,5,40,47,12,1,0,14,0,0,31394,11834,9614,3702,9,7,51,103,28,2,0,25,0,1,341,3,351,341,서울특별시 송파구 중대로 지하 149,N,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,"게이트 내부,외부",527245,1109277,37.495918,127.12454
가락시장,3호선,6137,2451,2222,4706,0,2,45,61,12,1,1,9,0,0,21445,8033,7295,7435,2,7,72,89,29,2,3,28,2,1,340,3,350,2818,서울특별시 송파구 송파대로 지하 257,N,N,N,N,N,Y,N,N,N,Y,N,Y,Y,N,N,"게이트 내부,외부",525992,1108579,37.492522,127.118234
수서,3호선,9354,4341,4239,1363,6,3,14,44,17,1,0,9,0,1,14632,6881,6703,1485,7,3,19,48,22,1,0,11,0,1,339,3,349,339,서울특별시 강남구 광평로 지하 270,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,게이트 내부,522445,1106977,37.487371,127.10188
일원,3호선,13122,4282,4188,287,7,3,5,24,19,1,0,4,0,1,19616,6432,6080,337,8,3,5,31,20,1,0,5,0,1,338,3,348,338,서울특별시 강남구 일원로 지하 121,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,게이트 외부,518585,1106192,37.483681,127.08439
대청,3호선,10385,3792,3256,795,5,3,7,57,9,1,0,6,0,1,25371,10030,8321,1134,8,3,9,71,12,1,0,9,0,1,337,3,347,337,서울특별시 강남구 일원로 지하 2,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,게이트 내부,517440,1108825,37.493514,127.079532
학여울,3호선,10829,3419,3420,184,0,0,3,8,7,0,0,6,0,0,27717,9669,9700,763,5,6,13,48,15,1,0,12,1,1,336,3,346,336,서울특별시 강남구 남부순환로 지하 3104,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,게이트 외부,515537,1109537,37.496663,127.070594
대치,3호선,13370,4050,4051,1211,2,5,24,88,10,1,0,7,1,1,33711,10295,10269,1716,7,7,34,122,14,2,0,12,1,2,335,3,345,335,서울특별시 강남구 남부순환로 지하 2952,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,Y,게이트 내부,513907,1108850,37.494612,127.063642
도곡,3호선,13739,4503,4522,700,5,4,38,58,14,1,0,8,0,0,33503,10870,10804,1446,15,5,62,102,22,1,0,16,0,2,334,3,344,334,서울특별시 강남구 남부순환로 지하 2814,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,게이트 외부,512105,1107980,37.490858,127.055381
매봉,3호선,9277,3513,3170,981,4,3,11,25,12,1,0,12,0,0,19475,7017,6631,1915,9,5,53,62,16,2,0,19,0,1,333,3,343,333,서울특별시 강남구 남부순환로 지하 2744,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,N,N,Y,게이트 외부,510257,1106985,37.486947,127.046769
양재,3호선,7286,3550,2342,2473,6,6,49,125,29,0,0,22,0,0,14329,6372,4527,3892,6,7,78,150,38,0,0,32,1,0,332,3,342,332,서울특별시 서초구 남부순환로 지하 2585,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,게이트 내부,507387,1106032,37.484147,127.034631
남부터미널,3호선,11243,4982,4458,3724,3,3,76,67,24,1,0,28,2,2,18848,7904,6545,5405,11,6,109,100,34,2,0,43,6,3,331,3,341,331,서울특별시 서초구 서초중앙로 지하 31,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,Y,게이트 내부,503497,1106375,37.485013,127.016189
