,numeric,lon,lat,address
고등학교학생,905,127.0000902,37.524645,"17 bogwang-ro 7-gil, yongsan-gu, seoul, south korea"
고등학교학생,1077,127.0243811,37.5883385,"96-1 anam-dong, seongbuk-gu, seoul, south korea"
고등학교학생,1519,127.0583619,37.6588542,"1461 dongil-ro, nowon-gu, seoul, south korea"
고등학교학생,680,126.8268765,37.4951383,"917 buil-ro, guro-gu, seoul, south korea"
고등학교학생,1346,127.0353272,37.4884898,"938-10 dogok-dong, gangnam-gu, seoul, south korea"
고등학교학생,1242,126.9712365,37.5656977,"26 jeongdong-gil, jeong-dong, jung-gu, seoul, south korea"
고등학교학생,1201,126.9473307,37.5661394,"560 seongsan-ro, sinchon-dong, seodaemun-gu, seoul, south korea"
고등학교학생,520,126.9695624,37.5649455,"30 tongil-ro 4-gil, jung-gu, seoul, south korea"
고등학교학생,956,126.9639075,37.5651781,"65 gyeonggi-daero, seodaemun-gu, seoul, south korea"
고등학교학생,1543,127.1135991,37.5017159,"8 songpa-daero 38-gil, songpa-gu, seoul, south korea"
고등학교학생,693,127.0065905,37.5531457,"93 dongho-ro 15-gil, jung-gu, seoul, south korea"
고등학교학생,976,126.9151301,37.5130688,"26 yeongdeungpo-ro 64-gil, singil-dong, yeongdeungpo-gu, seoul, south korea"
고등학교학생,1541,127.0795959,37.659803,"129-1 junggye-dong, nowon-gu, seoul, south korea"
고등학교학생,1461,127.0727415,37.5091964,"16 olympic-ro 4-gil, songpa-gu, seoul, south korea"
고등학교학생,1381,127.0318063,37.6529105,"69 nohae-ro 49-gil, dobong-gu, seoul, south korea"
고등학교학생,1194,127.0804483,37.4935585,"7 irwon-ro, gangnam-gu, seoul, south korea"
고등학교학생,1419,127.0808471,37.485653,"22 irwon-ro 14-gil, gangnam-gu, seoul, south korea"
고등학교학생,964,126.9870352,37.584897,"164 changdeokgung-gil, jongno-gu, seoul, south korea"
고등학교학생,1385,127.0521317,37.4919416,"207 seolleung-ro, gangnam-gu, seoul, south korea"
고등학교학생,1048,126.9531684,37.5628641,"7 bugahyeon-ro 11ga-gil, seodaemun-gu, seoul, south korea"
고등학교학생,1918,126.8659261,37.5233992,"927-6 mok-dong, yangcheon-gu, seoul, south korea"
고등학교학생,1445,127.0476387,37.501754,"27 seolleung-ro 85-gil, gangnam-gu, seoul, south korea"
고등학교학생,1529,127.0362812,37.6131144,"61 wolgye-ro, gangbuk-gu, seoul, south korea"
고등학교학생,1952,127.0620129,37.6660284,"506 hangeulbiseong-ro, nowon-gu, seoul, south korea"
고등학교학생,1525,127.0612783,37.6661668,"506 hangeulbiseong-ro, sanggye-dong, nowon-gu, seoul, south korea"
고등학교학생,1510,126.9217386,37.5850457,"5 gajwa-ro 5-gil, eunpyeong-gu, seoul, south korea"
고등학교학생,1148,126.9833623,37.5767345,"4 yulgok-ro 3-gil, jongno-gu, seoul, south korea"
고등학교학생,613,126.9367183,37.6409443,"535 yeonseo-ro, eunpyeong-gu, seoul, south korea"
고등학교학생,823,126.8838684,37.5375644,"15, mokdongseo-ro, yangcheon-gu, seoul, south korea"
고등학교학생,568,126.8581765,37.5386472,"488-2 hwagok-dong, gangseo-gu, seoul, south korea"
고등학교학생,619,127.1062512,37.6431424,"815 hwarang-ro, nowon-gu, seoul, south korea"
고등학교학생,937,126.8081599,37.5746018,"47 yangcheon-ro 11-gil, gangseo-gu, seoul, south korea"
고등학교학생,1053,126.954598,37.5597069,"24 bugahyeon-ro 3-gil, seodaemun-gu, seoul, south korea"
고등학교학생,979,127.0106694,37.5827584,"117 samseongyo-ro 16-gil, seongbuk-gu, seoul, south korea"
고등학교학생,1249,127.0422967,37.5618699,"223 sageun-dong, seongdong-gu, seoul, south korea"
고등학교학생,1713,127.1581466,37.5489092,"832 dongnam-ro, gangdong-gu, seoul, south korea"
고등학교학생,1066,127.1572303,37.5480681,"166 sangil-dong, gangdong-gu, seoul, south korea"
고등학교학생,923,127.0569633,37.5812848,"31 jeonnong-ro 20-gil, dongdaemun-gu, seoul, south korea"
고등학교학생,1303,127.0226548,37.5250492,"127 apgujeong-ro, gangnam-gu, seoul, south korea"
고등학교학생,1401,127.0736034,37.640511,"2 nowon-ro 16-gil, nowon-gu, seoul, south korea"
고등학교학생,1146,127.0967019,37.592991,"39 bongujae-ro 58-gil, jungnang-gu, seoul, south korea"
고등학교학생,799,127.0032562,37.5940995,"23 seongbuk-ro 14ga-gil, seongbuk-gu, seoul, south korea"
고등학교학생,1062,126.9234516,37.5655342,"donggyo-ro 51-gil, yeonnam-dong, mapo-gu, seoul, south korea"
고등학교학생,1083,126.831698,37.5480514,"69 gangseo-ro 45-gil, gangseo-gu, seoul, south korea"
고등학교학생,1171,126.9621659,37.5538139,"218 mallidong 2(i)-ga, jung-gu, seoul, south korea"
고등학교학생,1208,127.0673783,37.5831849,"247 hancheon-ro, dongdaemun-gu, seoul, south korea"
고등학교학생,1349,127.0620662,37.504951,"541 yeoksam-ro, gangnam-gu, seoul, south korea"
고등학교학생,610,126.8160214,37.5754999,"9 banghwa-daero 47-gil, gangseo-gu, seoul, south korea"
고등학교학생,1229,127.0742785,37.6344163,"264 gongneung-ro, nowon-gu, seoul, south korea"
고등학교학생,678,126.9697724,37.5889815,"136 jahamun-ro, jongno-gu, seoul, south korea"
고등학교학생,1429,127.0424482,37.5558658,"199 wangsimni-ro, seongdong-gu, seoul, south korea"
고등학교학생,1420,126.9225543,37.5018245,"46 daebangdong 1-gil, dongjak-gu, seoul, south korea"
고등학교학생,742,126.8255403,37.5378303,"19 garogongwon-ro 61-gil, yangcheon-gu, seoul, south korea"
고등학교학생,705,127.03236,37.6074229,"196 jongam-ro, seongbuk-gu, seoul, south korea"
