iteration	BLstm1_backward_c	BLstm1_backward_r	BLstm1_forward_c	BLstm1_forward_r	BLstm2_backward_c	BLstm2_backward_r	BLstm2_forward_c	BLstm2_forward_r	BLstm3_backward_c	BLstm3_backward_r	BLstm3_forward_c	BLstm3_forward_r
192	0.000110835	0.0	0.000100223	0.0	1.96516e-07	0.0	2.75123e-06	0.0	0.0	0.0	4.97162e-06	0.0
193	8.60271e-05	0.0	6.53883e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
194	9.17899e-05	0.0	8.88973e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
195	6.76232e-05	0.0	6.89719e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
196	8.21078e-05	0.0	9.9109e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
197	9.28548e-05	0.0	8.88259e-05	0.0	4.79622e-06	0.0	4.41252e-06	0.0	0.0	0.0	5.82415e-06	0.0
198	0.000103069	0.0	8.57039e-05	0.0	5.22812e-06	0.0	4.10781e-06	0.0	0.0	0.0	5.66962e-06	0.0
199	0.000114746	0.0	8.9801e-05	0.0	1.10865e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
200	8.54721e-05	0.0	9.88723e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201	8.53283e-05	0.0	9.81369e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.62591e-07	0.0
202	9.25964e-05	0.0	8.94035e-05	0.0	2.81734e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
203	0.000112118	0.0	0.000115932	0.0	4.95761e-06	0.0	2.47881e-06	0.0	0.0	0.0	2.50829e-06	0.0
204	9.39511e-05	0.0	8.574e-05	0.0	0.0	0.0	1.90958e-07	0.0	0.0	0.0	0.0	0.0
205	7.61203e-05	0.0	8.19903e-05	0.0	5.68062e-07	0.0	0.0	0.0	0.0	0.0	1.92405e-07	0.0
206	8.57292e-05	0.0	9.44375e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
207	7.47079e-05	0.0	7.77729e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
