키,업종,상호,주소,도로명주소,행정 시,행정 구,행정 동,객실수,비고
BE_LiST20-0302,외국인관광도시민박업,SPACE TORRA,,서울특별시 마포구 연남로1길 6 (연남동),서울특별시,마포구,연남동,6,
BE_LiST20-0303,외국인관광도시민박업,버즈네스트,,서울특별시 마포구 연남로3길 18 (연남동),서울특별시,마포구,연남동,5,
BE_LiST20-0304,외국인관광도시민박업,르 솔,,서울특별시 마포구 월드컵북로4길 23-3 (동교동),서울특별시,마포구,서교동,5,
BE_LiST20-0305,외국인관광도시민박업,헬로우코리아 게스트하우스,,서울특별시 마포구 성미산로22길 24 (연남동),서울특별시,마포구,연남동,4,
BE_LiST20-0306,외국인관광도시민박업,오아시스 게스트하우스,,"서울특별시 마포구 와우산로29가길 12, 1~2층 (서교동)",서울특별시,마포구,서교동,7,
BE_LiST20-0307,외국인관광도시민박업,JJ게스트하우스,,서울특별시 마포구 연희로1길 40-4 (동교동),서울특별시,마포구,서교동,9,
BE_LiST20-0308,외국인관광도시민박업,ICOS,,서울특별시 마포구 고산3길 15 (노고산동),서울특별시,마포구,대흥동,4,
BE_LiST20-0309,외국인관광도시민박업,화이트테일,,서울특별시 마포구 성미산로29길 24-6 (연남동),서울특별시,마포구,연남동,5,
BE_LiST20-0310,외국인관광도시민박업,스튜디오 41번가,,"서울특별시 마포구 성미산로22길 32, 2~3층 (연남동)",서울특별시,마포구,연남동,7,
BE_LiST20-0434,외국인관광도시민박업,A Little Nap,,"서울특별시 마포구 신촌로2안길 47, 101호 (동교동)",서울특별시,마포구,서교동,2,
BE_LiST20-0435,외국인관광도시민박업,에그 게스트하우스 픽미업코리아,,"서울특별시 마포구 양화로19길 22-29, 401호 (동교동)",서울특별시,마포구,서교동,4,
BE_LiST20-0436,외국인관광도시민박업,미소 게스트하우스,,"서울특별시 마포구 신촌로2안길 27, 2층 (동교동)",서울특별시,마포구,서교동,2,
BE_LiST20-0437,외국인관광도시민박업,레이지폭스,,"서울특별시 마포구 양화로7길 66, 3층 (서교동)",서울특별시,마포구,서교동,2,
BE_LiST20-0438,외국인관광도시민박업,Park Mama Guesthouse,,"서울특별시 마포구 와우산로29길 33, 2층 (서교동)",서울특별시,마포구,서교동,2,
BE_LiST20-0439,외국인관광도시민박업,핫스페이스,,"서울특별시 마포구 와우산로29길 63, 7층 (서교동)",서울특별시,마포구,서교동,3,
