호선,역,인구_100,가구_100,주택_100,사업체수_100,교육시설_100,공공기관_100,금융시설_100,의료시설_100,대중교통_100,방범.방재_100,백화점.중대형마트_100,편의점_100,극장.영화관_100,도서관.박물관_100,인구_300,가구_300,주택_300,사업체수_300,교육시설_300,공공기관_300,금융시설_300,의료시설_300,대중교통_300,방범.방재_300,백화점.중대형마트_300,편의점_300,극장.영화관_300,도서관.박물관_300,인구_500,가구_500,주택_500,사업체수_500,교육시설_500,공공기관_500,금융시설_500,의료시설_500,대중교통_500,방범.방재_500,백화점.중대형마트_500,편의점_500,극장.영화관_500,도서관.박물관_500
5,청구,3466,1527,829,733,1,1,5,23,4,0,0,6,0,1,11508,4996,2937,1767,4,2,7,48,5,0,0,13,0,2,28973,12418,8415,3967,9,8,25,102,19,2,0,27,0,5
5,신금호,1807,744,363,413,2,5,6,22,24,2,0,4,0,0,8175,3152,2164,527,2,5,6,30,29,2,0,5,0,0,36701,14169,12341,1032,7,6,10,65,56,2,0,13,0,2
5,행당,4626,1539,1420,344,4,2,5,26,9,1,1,3,0,0,19936,6998,5953,653,6,2,6,49,14,1,1,5,0,0,44588,16843,14179,1710,10,6,19,108,53,2,1,14,0,3
5,왕십리,1099,577,509,488,0,5,3,6,7,2,1,7,1,0,11829,6219,3350,2071,2,8,37,77,15,3,0,23,0,2,27011,12846,6816,3434,26,12,51,120,32,5,1,41,2,3
5,마장,1569,648,478,627,3,0,5,11,4,0,0,4,0,0,10750,4497,3298,905,4,1,6,22,12,0,0,7,0,0,23648,10071,7030,2637,10,8,12,40,31,2,1,14,1,0
5,답십리,2830,1321,856,582,0,0,10,20,6,0,0,7,0,1,14677,6961,3686,1635,2,3,29,51,18,2,0,12,0,1,33049,14250,8234,3369,5,6,40,88,29,2,0,18,0,1
5,장한평,2243,1151,972,1563,0,1,152,22,5,0,0,6,0,0,6213,2667,2187,2850,0,0,174,46,11,0,0,12,0,0,12254,4997,3892,3468,3,5,179,50,14,4,0,15,0,0
5,군자,2974,1648,653,689,0,2,17,41,7,0,0,8,2,0,12591,6259,2682,1634,1,5,27,59,17,1,0,18,2,0,36479,17586,7533,2795,3,8,33,80,32,1,0,34,2,1
5,아차산,3356,1527,837,533,5,3,8,28,10,3,0,14,2,1,12722,5405,3122,1065,7,3,12,56,18,3,0,16,2,1,34703,14185,8233,1984,8,5,17,95,31,3,0,29,2,1
5,광나루,2664,905,793,206,3,1,10,8,12,1,0,4,1,0,14514,4864,4217,694,7,3,18,33,20,1,0,10,1,0,21888,6955,6300,821,12,3,18,42,22,1,0,11,1,0
5,천호,2054,1027,494,1341,0,1,29,89,10,0,2,10,0,0,13907,6938,3983,2734,0,0,64,150,20,0,0,22,0,0,34895,15964,8538,4201,0,7,69,184,26,2,3,33,1,1
5,강동,3814,1856,1468,323,0,0,18,9,6,0,0,4,0,0,19168,8905,6471,1526,1,2,42,58,13,1,0,18,0,0,43836,19724,13666,3502,2,5,92,123,21,1,0,41,1,1
5,길동,3771,1740,1013,869,1,1,39,50,8,0,0,10,0,0,16640,6935,5237,1673,5,3,46,78,13,0,0,18,0,0,41431,17179,12599,3397,6,8,68,147,23,2,0,46,0,1
5,굽은다리,2854,1253,813,365,0,0,8,24,3,0,1,4,0,0,17706,6887,4672,1324,3,1,9,71,8,0,1,17,0,0,45252,17418,11263,2638,8,7,13,138,22,1,1,33,0,0
5,명일,3250,1336,893,605,2,0,5,50,12,0,0,6,0,0,11754,4352,3098,1142,6,3,11,89,19,0,0,10,0,0,39051,13832,10636,2160,13,8,17,144,28,3,0,21,0,0
5,고덕,2126,614,617,357,4,4,5,26,9,3,1,5,0,0,10696,3392,3280,1143,13,4,11,73,25,3,1,10,1,1,22026,7048,6812,1438,16,5,14,84,28,3,1,10,1,1
5,상일동,2336,892,739,314,5,1,4,30,11,0,0,3,0,2,6725,2562,2228,445,6,1,5,38,21,0,0,4,1,2,14337,5359,4280,625,10,2,6,48,23,0,0,5,1,2
5,둔촌동,1356,491,397,291,0,0,5,24,8,0,0,2,0,0,13947,5203,3728,1726,5,3,21,84,16,0,0,15,0,0,37594,14107,10284,2823,8,3,26,103,20,0,0,26,0,1
5,올림픽공원,2407,452,455,430,6,2,9,18,13,0,0,7,0,2,7881,2121,2123,443,11,4,9,18,13,1,0,7,0,3,16070,4629,4633,459,13,4,11,18,14,1,0,7,0,3
5,방이,3497,1225,1006,451,0,2,8,25,4,1,0,4,0,0,15336,5251,4619,1248,3,4,15,48,7,2,0,12,0,0,29629,9926,8760,2117,16,7,24,82,25,2,0,23,0,2
5,오금,2170,818,527,318,3,4,1,8,6,2,0,2,0,1,7408,2807,2152,794,4,5,6,22,11,2,0,7,0,1,21904,7976,6257,1769,10,7,8,52,21,4,0,16,0,1
5,개롱,4487,1600,1456,336,0,0,5,27,6,0,0,2,0,1,16029,5446,4964,858,7,0,7,51,14,0,0,5,0,1,29683,10382,8703,1691,14,5,10,92,33,1,0,10,0,1
5,거여,4049,1581,859,500,0,1,4,45,6,0,0,5,0,1,15188,5595,4178,877,3,3,5,70,11,1,0,9,0,1,34545,12953,9728,1633,8,5,6,110,29,2,0,15,0,1
5,마천,3874,1542,862,272,1,1,0,17,2,1,0,3,0,0,18976,7621,4211,1100,1,4,2,43,11,2,0,8,0,0,35247,13915,8350,1864,2,8,9,98,17,4,0,14,0,0
6,봉화산,2899,1115,1056,352,0,5,4,19,8,2,1,3,0,0,9119,3253,2980,540,7,7,4,32,26,2,1,6,0,0,18391,6276,5947,718,8,7,5,46,35,2,1,7,0,1
6,화랑대,1501,616,309,112,3,0,2,7,7,0,0,3,0,0,10304,3526,2914,399,6,2,3,31,13,1,0,8,0,1,31961,11371,9768,968,8,3,6,69,39,2,0,11,0,2
6,태릉입구,2263,1180,837,316,2,0,6,15,10,0,0,4,0,0,10865,4756,3471,1108,3,2,13,38,22,1,0,14,0,0,29127,11829,8718,2061,5,7,19,99,37,3,1,23,0,0
6,석계,2146,1016,595,526,1,2,4,31,16,0,0,6,0,1,14551,5810,4270,1048,1,3,5,55,19,0,0,8,1,1,34952,13270,10409,1524,5,5,9,79,31,1,0,11,1,1
6,돌곶이,3400,1462,933,369,2,0,5,21,5,0,0,7,0,0,13904,5533,3418,1175,4,4,8,42,9,1,0,11,0,0,29781,12208,7130,2409,7,7,13,73,22,2,0,19,0,0
6,상월곡,2285,1080,478,240,1,2,0,8,5,1,0,3,0,0,12105,5036,3140,671,1,3,3,23,10,1,0,9,0,1,22155,8757,5603,1285,13,6,5,42,16,3,0,14,0,1
6,월곡,3312,1527,786,459,0,3,5,30,7,1,1,3,0,0,11864,4923,3427,931,3,3,6,52,12,1,1,7,0,0,26071,10198,7553,1551,13,4,9,80,20,0,0,14,0,0
6,고려대,3494,888,642,236,11,2,1,3,9,1,0,11,0,0,12114,4959,3200,638,17,3,2,14,19,1,0,17,0,0,20846,9239,5399,1511,22,5,7,35,28,1,0,20,0,1
6,안암,4566,1919,581,616,20,1,6,15,12,0,0,20,0,0,7908,3787,1374,940,20,1,8,29,14,0,0,24,0,0,17400,8442,3972,1492,25,2,11,45,21,0,0,36,0,0
6,보문,2672,1358,704,403,1,0,4,22,2,0,0,2,0,0,12877,6289,3267,772,7,2,5,31,9,1,0,6,0,0,31520,15065,8061,2312,19,11,25,88,27,4,0,27,0,0
6,창신,3002,1234,873,182,2,2,2,7,8,0,0,3,0,1,13906,5358,4011,567,9,4,3,29,17,0,0,7,0,1,32749,12991,9072,1298,20,5,10,48,22,1,0,12,0,2
6,동묘앞,3713,1963,1606,1334,5,3,15,43,11,1,0,10,0,0,10625,5274,3634,3437,6,4,36,67,16,1,0,19,0,1,25957,12241,8879,16704,12,14,99,114,34,6,0,44,3,3
6,신당,2799,1374,766,1138,0,4,11,31,3,2,0,5,0,1,11836,5779,3764,14447,8,11,47,86,15,8,0,30,2,2,23071,10663,7466,15356,9,14,53,106,26,8,0,34,2,4
6,청구,3466,1527,829,733,1,1,5,23,4,0,0,6,0,1,11508,4996,2937,1767,4,2,7,48,5,0,0,13,0,2,28973,12418,8415,3967,9,8,25,102,19,2,0,27,0,5
6,약수,2645,1249,848,994,1,3,8,53,12,1,0,11,0,1,10538,4512,3211,1594,3,5,14,74,13,2,0,15,0,0,10538,4512,3211,1594,3,5,14,74,13,2,0,15,0,9
6,버티고개,3485,1402,1353,186,0,0,2,6,3,0,0,1,0,0,12092,4834,4480,437,5,0,4,17,11,0,0,3,0,1,22451,9114,8316,1101,10,4,9,56,25,2,1,9,1,1
6,한강진,991,538,400,234,0,0,4,11,6,0,0,5,1,2,3226,1671,1267,712,3,1,17,23,16,0,0,9,1,3,5180,2623,2006,836,3,2,17,25,21,0,0,10,1,4
6,이태원,1281,703,432,647,0,2,14,10,5,2,0,6,0,0,5819,3059,1834,1766,1,3,29,25,18,2,0,17,0,2,14946,7480,4735,2396,3,7,33,35,31,2,0,22,0,3
